,auc,f_c_estimate,f_c_max_deriv,slc_at_fc
Erdos-Renyi,0.43532177761386687,,0.43103448275862066,
Barabasi-Albert,0.46790517241379315,,0.48275862068965514,
Watts-Strogatz,0.4582931034482759,0.4751146594190589,0.46551724137931033,0.148
Regular Random,0.4889310344827586,,0.46551724137931033,
