,region,model_type,is_directed,num_nodes,num_edges,density,is_connected,avg_degree,median_degree,max_degree,transitivity,avg_clustering,avg_shortest_path,diameter,global_efficiency,processing_time_sec
0,AL,original,True,1041,10945,0.010109547033178156,True,15.842459173871278,12.0,420,0.18943579964205048,0.3642086076199397,3.1207899209340133,13,0.371532185797423,1.5769660472869873
1,AL,configuration_model,False,1041,9900,0.018288627798714253,True,19.020172910662826,14.0,358,0.08572662128671235,0.12648534877696094,2.5952375674277692,5,0.4120530678061563,1.7476239204406738
2,EB,original,True,854,43854,0.06020080663095673,True,71.56206088992974,27.0,325,0.4373591217707583,0.49489049333482227,2.569155288813967,7,0.4474479696361756,4.382367134094238
3,EB,configuration_model,False,854,32453,0.08910004914463623,True,76.0023419203747,33.0,298,0.39005826803295157,0.3348758949649052,2.369633556726363,5,0.4721802464176476,4.426715135574341
4,FB,original,True,4366,172671,0.009060484562843465,True,65.15208428767751,32.0,886,0.2431173852536039,0.31980531935777906,2.95367850814295,8,0.36785937039541816,125.31594204902649
5,FB,configuration_model,False,4366,160859,0.016881358031104667,True,73.68712780577188,34.5,879,0.1163648259603151,0.09836168896678932,2.738204253528384,6,0.39383262690287507,110.6051869392395
6,LH,original,True,3712,100567,0.007300566698259601,True,49.2332974137931,37.0,925,0.11771250272905902,0.19961422969561,2.6625306927680055,6,0.4018624223424019,65.74091291427612
7,LH,configuration_model,False,3712,96019,0.01394081783885745,True,51.734375,39.0,862,0.06729560513531706,0.0689181629358138,2.535745750053429,6,0.42066170644250017,65.27804803848267
8,MB,original,True,598,13171,0.03689293737360157,True,36.30769230769231,24.0,374,0.23890751172371777,0.4428243786431964,2.0972980846260287,4,0.5040881665856939,0.7878050804138184
9,MB,configuration_model,False,598,11368,0.06368520417023804,True,38.020066889632105,27.0,316,0.1769896506965655,0.21174790012029088,2.077937065483493,3,0.5082388904763396,0.5536689758300781
