Region,Region_Name,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold
EB,Ellipsoid Body,random,0.0,1.0,0.013973884870897013
EB,Ellipsoid Body,random,0.05,0.9927400468384076,0.013973884870897013
EB,Ellipsoid Body,random,0.1,0.9852459016393442,0.013973884870897013
EB,Ellipsoid Body,random,0.15000000000000002,0.9742388758782201,0.013973884870897013
EB,Ellipsoid Body,random,0.2,0.9646370023419204,0.013973884870897013
EB,Ellipsoid Body,random,0.25,0.9517564402810305,0.013973884870897013
EB,Ellipsoid Body,random,0.30000000000000004,0.9374707259953162,0.013973884870897013
EB,Ellipsoid Body,random,0.35000000000000003,0.9213114754098362,0.013973884870897013
EB,Ellipsoid Body,random,0.4,0.9081967213114754,0.013973884870897013
EB,Ellipsoid Body,random,0.45,0.8896955503512881,0.013973884870897013
EB,Ellipsoid Body,random,0.5,0.8756440281030444,0.013973884870897013
EB,Ellipsoid Body,random,0.55,0.855503512880562,0.013973884870897013
EB,Ellipsoid Body,random,0.6000000000000001,0.8337236533957846,0.013973884870897013
EB,Ellipsoid Body,random,0.65,0.8100702576112413,0.013973884870897013
EB,Ellipsoid Body,random,0.7000000000000001,0.785480093676815,0.013973884870897013
EB,Ellipsoid Body,random,0.75,0.7587822014051522,0.013973884870897013
EB,Ellipsoid Body,random,0.8,0.7276346604215457,0.013973884870897013
EB,Ellipsoid Body,random,0.8500000000000001,0.6911007025761124,0.013973884870897013
EB,Ellipsoid Body,random,0.9,0.6491803278688525,0.013973884870897013
EB,Ellipsoid Body,random,0.9500000000000001,0.5728337236533958,0.013973884870897013
EB,Ellipsoid Body,random,1.0,0.00117096018735363,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.0,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.05,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.1,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.15000000000000002,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.2,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.25,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.30000000000000004,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.35000000000000003,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.4,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.45,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.5,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.55,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.6000000000000001,1.0,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.65,0.990632318501171,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.7000000000000001,0.9262295081967213,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.75,0.8618266978922716,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.8,0.8126463700234192,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.8500000000000001,0.7131147540983607,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.9,0.65807962529274,0.013973884870897013
EB,Ellipsoid Body,high_degree,0.9500000000000001,0.5117096018735363,0.013973884870897013
EB,Ellipsoid Body,high_degree,1.0,0.00117096018735363,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.0,1.0,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.05,0.7845433255269321,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.1,0.752927400468384,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.15000000000000002,0.7224824355971897,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.2,0.7072599531615925,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.25,0.6885245901639344,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.30000000000000004,0.6346604215456675,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.35000000000000003,0.5327868852459017,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.4,0.48360655737704916,0.013973884870897013
EB,Ellipsoid Body,low_degree,0.45,0.4718969555035129,0.013973884870897013
