Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold
MB,Mushroom Body,Original,N/A,random,0.0,1.0,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.1,0.9013377926421404,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.2,0.8010033444816054,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.30000000000000004,0.6981605351170568,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.4,0.5978260869565217,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.5,0.4974916387959866,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.6000000000000001,0.3979933110367893,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.7000000000000001,0.298494983277592,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.8,0.1948160535117057,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,0.9,0.07608695652173914,0.013443113809530297
MB,Mushroom Body,Original,N/A,random,1.0,0.0,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.0,1.0,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.1,0.8913043478260869,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.2,0.7525083612040134,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.30000000000000004,0.6270903010033445,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.4,0.4866220735785953,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.5,0.27424749163879597,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.6000000000000001,0.09531772575250837,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.7000000000000001,0.051839464882943144,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.8,0.01839464882943144,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,0.9,0.010033444816053512,0.013443113809530297
MB,Mushroom Body,Original,N/A,high_degree,1.0,0.0,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.0,1.0,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.1,0.9013377926421404,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.2,0.8010033444816054,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.30000000000000004,0.7006688963210702,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.4,0.6003344481605352,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.5,0.5,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.6000000000000001,0.4013377926421405,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.7000000000000001,0.3010033444816054,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.8,0.20066889632107024,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,0.9,0.10033444816053512,0.013443113809530297
MB,Mushroom Body,Original,N/A,low_degree,1.0,0.0,0.013443113809530297
