,region,model_type,is_directed,num_nodes,num_edges,density,is_connected,avg_degree,median_degree,max_degree,transitivity,avg_clustering,avg_shortest_path,diameter,global_efficiency,processing_time_sec
0,EB,original,True,854,43854,0.06020080663095673,True,71.56206088992974,27.0,325,0.4373591217707583,0.49489049333482227,2.569155288813967,7,0.4474479696361756,4.382367134094238
1,EB,configuration_model,False,854,32453,0.08910004914463623,True,76.0023419203747,33.0,298,0.39005826803295157,0.3348758949649052,2.369633556726363,5,0.4721802464176476,4.426715135574341
