,region,model_type,is_directed,num_nodes,num_edges,density,is_connected,avg_degree,median_degree,max_degree,transitivity,avg_clustering,avg_shortest_path,diameter,global_efficiency,processing_time_sec
0,LH,original,True,3712,100567,0.007300566698259601,True,49.2332974137931,37.0,925,0.11771250272905902,0.19961422969561,2.6625306927680055,6,0.4018624223424019,70.76717209815979
1,LH,coarsened,False,1856,17998,0.010455200297425412,True,19.39439655172414,12.0,1235,0.072196264349953,0.4941447604957434,2.3075570452644296,5,0.45296998442662406,5.021499156951904
2,LH,configuration_model,False,3712,96019,0.01394081783885745,True,51.734375,39.0,862,0.06729560513531706,0.0689181629358138,2.535745750053429,6,0.42066170644250017,55.157527923583984
