Region,Original_Region,Region_Name,Region_Type,Seed,Percolation_Threshold
EB,EB,Ellipsoid Body,Original,N/A,0.005816827701630643
FB,FB,Fan-shaped Body,Original,N/A,0.005528551647510491
EB_cm_42,EB,Ellipsoid Body,Unscaled CM,42,0.00620084110437869
EB_cm_123,EB,Ellipsoid Body,Unscaled CM,123,0.006203835105019756
FB_cm_42,FB,Fan-shaped Body,Unscaled CM,42,0.005029076261705391
FB_cm_123,FB,Fan-shaped Body,Unscaled CM,123,0.005036683225473665
EB_scaled_cm_42,EB,Ellipsoid Body,Scaled CM,42,0.005247783028568003
EB_scaled_cm_123,EB,Ellipsoid Body,Scaled CM,123,0.005434921547950021
FB_scaled_cm_42,FB,Fan-shaped Body,Scaled CM,42,0.006201509288129904
FB_scaled_cm_123,FB,Fan-shaped Body,Scaled CM,123,0.006264939420255641
