,region,model_type,is_directed,num_nodes,num_edges,density,is_connected,avg_degree,median_degree,max_degree,transitivity,avg_clustering,avg_shortest_path,diameter,global_efficiency,processing_time_sec
0,AL,original,True,1041,10945,0.010109547033178156,True,15.842459173871278,12.0,420,0.18943579964205048,0.3642086076199397,3.1207899209340133,13,0.371532185797423,1.6707561016082764
1,AL,coarsened,False,521,1440,0.01063044441163443,True,5.527831094049904,4.0,227,0.08328453261108264,0.37441176369112744,3.4938801122102467,13,0.3397824757960674,0.2078709602355957
2,AL,configuration_model,False,1041,9900,0.018288627798714253,True,19.020172910662826,14.0,358,0.08572662128671235,0.12648534877696094,2.5952375674277692,5,0.4120530678061563,1.692831039428711
3,EB,original,True,854,43854,0.06020080663095673,True,71.56206088992974,27.0,325,0.4373591217707583,0.49489049333482227,2.569155288813967,7,0.4474479696361756,4.657831907272339
4,EB,coarsened,False,427,1254,0.01378764389616387,True,5.873536299765808,2.0,154,0.14576050245896782,0.37402845666689843,2.8018713373134987,7,0.38557150867773293,0.1363661289215088
5,EB,configuration_model,False,854,32453,0.08910004914463623,True,76.0023419203747,33.0,298,0.39005826803295157,0.3348758949649052,2.369633556726363,5,0.4721802464176476,4.505443096160889
6,FB,original,True,4366,172671,0.009060484562843465,True,65.15208428767751,32.0,886,0.2431173852536039,0.31980531935777906,2.95367850814295,8,0.36785937039541816,114.08338570594788
7,FB,coarsened,False,2183,9797,0.0041135295527937946,True,8.975721484196061,1.0,585,0.19209842721646783,0.33985572967073746,2.8572982714106545,7,0.36610992547583815,4.263468027114868
8,FB,configuration_model,False,4366,160859,0.016881358031104667,True,73.68712780577188,34.5,879,0.1163648259603151,0.09836168896678932,2.738204253528384,6,0.39383262690287507,108.2342541217804
9,LH,original,True,3712,100567,0.007300566698259601,True,49.2332974137931,37.0,925,0.11771250272905902,0.19961422969561,2.6625306927680055,6,0.4018624223424019,70.76717209815979
10,LH,coarsened,False,1856,17998,0.010455200297425412,True,19.39439655172414,12.0,1235,0.072196264349953,0.4941447604957434,2.3075570452644296,5,0.45296998442662406,5.021499156951904
11,LH,configuration_model,False,3712,96019,0.01394081783885745,True,51.734375,39.0,862,0.06729560513531706,0.0689181629358138,2.535745750053429,6,0.42066170644250017,55.157527923583984
12,MB,original,True,598,13171,0.03689293737360157,True,36.30769230769231,24.0,374,0.23890751172371777,0.4428243786431964,2.0972980846260287,4,0.5040881665856939,0.8232178688049316
13,MB,coarsened,False,299,2441,0.05479113824605508,True,16.327759197324415,10.0,228,0.1551968906359432,0.7412479370548477,1.9771497833943121,3,0.5220720821829901,0.11334013938903809
14,MB,configuration_model,False,598,11368,0.06368520417023804,True,38.020066889632105,27.0,316,0.1769896506965655,0.21174790012029088,2.077937065483493,3,0.5082388904763396,0.5714142322540283
