Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold
MB,Mushroom Body,Original,N/A,random,0.2,1.0,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.30000000000000004,0.9996655518394648,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.4,0.9996655518394648,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.5,0.9993311036789297,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.6000000000000001,0.9979933110367893,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.7000000000000001,0.994314381270903,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.8,0.9702341137123746,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,0.9,0.8531772575250836,0.02754237288135593
MB,Mushroom Body,Original,N/A,random,1.0,0.0016722408026755853,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.0,1.0,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.1,0.9966555183946488,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.2,0.9933110367892977,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.30000000000000004,0.9899665551839465,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.4,0.9832775919732442,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.5,0.9665551839464883,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.6000000000000001,0.9481605351170569,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.7000000000000001,0.9163879598662207,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.8,0.8244147157190636,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,0.9,0.6555183946488294,0.02754237288135593
MB,Mushroom Body,Original,N/A,high_degree,1.0,0.0016722408026755853,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.0,1.0,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.1,1.0,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.2,1.0,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.30000000000000004,1.0,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.4,0.9949832775919732,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.5,0.9933110367892977,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.6000000000000001,0.9782608695652174,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.7000000000000001,0.9548494983277592,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.8,0.9080267558528428,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,0.9,0.8076923076923077,0.02754237288135593
MB,Mushroom Body,Original,N/A,low_degree,1.0,0.0016722408026755853,0.02754237288135593
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.0,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.1,0.9784543325526933,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.2,0.954566744730679,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.30000000000000004,0.9274004683840749,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.4,0.9018735362997659,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.5,0.8718969555035129,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.6000000000000001,0.8395784543325527,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.7000000000000001,0.7969555035128806,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.8,0.7505854800936769,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,0.9,0.6772833723653395,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,random,1.0,0.00117096018735363,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.0,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.1,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.2,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.30000000000000004,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.4,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.5,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.6000000000000001,0.9929742388758782,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.7000000000000001,0.9578454332552693,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.8,0.9227166276346604,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,0.9,0.8220140515222483,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,high_degree,1.0,0.00117096018735363,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.0,1.0,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.1,0.8161592505854801,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.2,0.7353629976580797,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.30000000000000004,0.6826697892271663,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.4,0.6018735362997658,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.5,0.5035128805620609,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.6000000000000001,0.4812646370023419,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.7000000000000001,0.45901639344262296,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.8,0.3770491803278688,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,0.9,0.18501170960187355,0.013164791120702945
EB_cm_42,Ellipsoid Body,Unscaled CM,42,low_degree,1.0,0.00117096018735363,0.013164791120702945
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.0,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.1,0.9798594847775176,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.2,0.9550351288056206,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.30000000000000004,0.9304449648711944,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.4,0.9016393442622951,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.5,0.8702576112412178,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.6000000000000001,0.833255269320843,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.7000000000000001,0.7918032786885246,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.8,0.7395784543325528,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,0.9,0.6707259953161592,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,random,1.0,0.00117096018735363,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.0,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.1,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.2,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.30000000000000004,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.4,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.5,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.6000000000000001,0.9929742388758782,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.7000000000000001,0.9601873536299765,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.8,0.9297423887587822,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,0.9,0.8290398126463701,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,high_degree,1.0,0.00117096018735363,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.0,1.0,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.1,0.819672131147541,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.2,0.7224824355971897,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.30000000000000004,0.6756440281030445,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.4,0.6135831381733021,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.5,0.5175644028103045,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.6000000000000001,0.4812646370023419,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.7000000000000001,0.4672131147540984,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.8,0.3981264637002342,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,0.9,0.21311475409836064,0.013163979406233624
EB_cm_123,Ellipsoid Body,Unscaled CM,123,low_degree,1.0,0.00117096018735363,0.013163979406233624
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.0,1.0,0.013568445129531101
FB_cm_42,Fan-shaped Body,Unscaled CM,42,random,0.1,0.9735684837379752,0.013568445129531101
