brain_region,num_nodes,num_edges,algebraic_connectivity,spectral_gap,laplacian_largest,normalized_laplacian_largest
AL,1041,8246,0.09152098082490273,0.09152098082464388,3651.5714387317535,1.957474275412146
EB,854,30557,0.7325063013315543,0.7325063013312786,8513.729859042513,1.8068736144698019
FB,4366,142227,1.1447045873109474,1.1447045873126633,8656.187798154855,1.7077907026731811
LH,3712,91377,2.5978197898332276,2.597819789833416,10427.594553910669,1.4830305397473942
MB,598,10856,14.904856991412316,14.90485699141254,8443.94650549543,1.558146185858528
