source,target,weight,roiInfo
294445931,295443724,13,"{""SNP(R)"": {""pre"": 13, ""post"": 13}, ""SLP(R)"": {""pre"": 13, ""post"": 13}}"
294445931,357490931,11,"{""SNP(R)"": {""pre"": 11, ""post"": 11}, ""SLP(R)"": {""pre"": 11, ""post"": 11}}"
294445931,449555633,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294445931,511966686,7,"{""SNP(R)"": {""pre"": 7, ""post"": 7}, ""SLP(R)"": {""pre"": 7, ""post"": 7}}"
294445931,669171261,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294445931,948812702,18,"{""SNP(R)"": {""pre"": 18, ""post"": 18}, ""SLP(R)"": {""pre"": 18, ""post"": 18}}"
294445931,5813012083,15,"{""SNP(R)"": {""pre"": 15, ""post"": 15}, ""SLP(R)"": {""pre"": 15, ""post"": 15}}"
294756576,294760837,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294756576,294786630,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294756576,295443724,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294756576,295461707,7,"{""SNP(R)"": {""pre"": 7, ""post"": 7}, ""SLP(R)"": {""pre"": 7, ""post"": 7}}"
294756576,295780154,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294756576,356467849,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
294756576,386825553,5,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}}"
294756576,480595244,9,"{""SNP(R)"": {""pre"": 9, ""post"": 9}, ""SLP(R)"": {""pre"": 9, ""post"": 9}}"
294756576,604039904,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294756576,669171261,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294756576,5813009800,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
294756576,5813012083,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294760680,325814461,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294760680,356153135,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294760680,449555517,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
294760680,480590566,3,"{""LH(R)"": {""pre"": 3, ""post"": 3}}"
294760837,294432626,18,"{""SNP(R)"": {""pre"": 18, ""post"": 18}, ""SLP(R)"": {""pre"": 18, ""post"": 18}}"
294760837,295443724,39,"{""SNP(R)"": {""pre"": 38, ""post"": 38}, ""SLP(R)"": {""pre"": 38, ""post"": 38}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
294760837,296120593,8,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}, ""LH(R)"": {""pre"": 3, ""post"": 3}}"
294760837,325814461,5,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
294760837,326137566,5,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}}"
294760837,356153135,3,"{""LH(R)"": {""pre"": 3, ""post"": 3}}"
294760837,356467849,4,"{""SNP(R)"": {""pre"": 2, ""post"": 1}, ""SLP(R)"": {""pre"": 2, ""post"": 1}, ""LH(R)"": {""pre"": 2, ""post"": 3}}"
